id,sentence,queryId,correct,
WR-P-P-G0000000/WR-P-P-G-0000000849.p.3.s.2.xml,Met de komst van de wiskundige techniek die in het artikel beschreven wordt moet worden gevreesd dat het pseudoniem zijn langste tijd heeft gehad .,^q_1_pos,0,
WR-P-P-G0000001/WR-P-P-G-0000001520.p.3.s.3.xml,En dit vooral omdat men zich de kosten van de weldadige nieuwe technieken waarmee het leven in stand kan worden gehouden wil besparen !,^q_1_pos,0,
WR-P-P-G0000002/WR-P-P-G-0000002075.p.2.s.7.xml,"Want het is nooit onze schuld , de hand in eigen boezem steken is iets wat we niet kunnen .",^q_1_pos,0,
WR-P-P-G0000002/WR-P-P-G-0000002165.p.2.s.3.xml,Dit morele dilemma ( namelijk of zo'n film niet overal vertoond zou moeten kunnen worden ) valt nog net binnen de grens van Etty .,^q_1_pos,1,
WR-P-P-G0000003/WR-P-P-G-0000003449.p.1.s.5.xml,Mijn Winkler Prins zegt van Richard III : ` Of hij werkelijk zijn twee neefjes heeft laten ombrengen wordt betwist .,^q_1_pos,0,
WR-P-P-G0000003/WR-P-P-G-0000003451.p.2.s.4.xml,"De vraag hoe andere accenten aan de hulp zouden kunnen worden gegeven is echter zeer terecht , zoals onlangs ook is geconcludeerd door de Wetenschappelijke Raad voor het Regeringsbeleid ( WRR ) in haar rapport : ` Ontwikkelingsbeleid en Goed Bestuur ' .",^q_1_pos,0,
WR-P-P-G0000005/WR-P-P-G-0000004088.p.12.s.6.xml,"Toch was hij schuldig , zei Hannah Arendt , omdat hij het lijden van de joden die hij op transport liet zetten had moeten opmerken .",^q_1_pos,0,
WR-P-P-G0000006/WR-P-P-G-0000004558.p.6.s.2.xml,"Leden van de landmachttop die zich aan die doodzonde schuldig hebben gemaakt moeten worden gestraft , zonodig met ontslag .",^q_1_pos,0,
WR-P-P-G0000012/WR-P-P-G-0000006264.p.3.s.3.xml,",, Ik zou hebben moeten kunnen winnen van deze jongen .",^q_1_pos,0,
WR-P-P-G0000012/WR-P-P-G-0000006335.p.17.s.1.xml,De grenzen van wat wel en niet kan worden gezegd worden opgerekt .,^q_1_pos,0,
WR-P-P-G0000017/WR-P-P-G-0000009009.p.4.s.1.xml,"De afgelopen weken leverden twee rechercheurs van het onderzoeksteam harde kritiek op hun collega's en superieuren , omdat die koste wat kost André de Vries veroordeeld zouden hebben willen zien .",^q_1_pos,1,
WR-P-P-G0000024/WR-P-P-G-0000012787.p.3.s.2.xml,"Het laatste wat je de jongelingen kan verwijten kan worden is dat ze zich spiegelen aan andere bands , maar de overeenkomsten met de moeder aller Haagse rockbands zijn frappant .",^q_1_pos,0,
WR-P-P-G0000026/WR-P-P-G-0000013875.p.10.s.4.xml,"Roken zou moeten worden opgenomen in de kijkwijzer , net als geweld , seks en grof taalgebruik .",^q_1_pos,0,
WR-P-P-G0000044/WR-P-P-G-0000023524.p.2.s.7.xml,' Zeevarenden werknemers kunnen inzetten zullen worden gedwongen voor dat werk. dit werk te doen voor een appel De internationale vakbond en een ei .,^q_1_pos,0,
WR-P-P-G0000062/WR-P-P-G-0000033266.p.2.s.2.xml,"' Maar een eenvoudige rekensom leert dat extra bezuinigingen betekenen dat wij geen van de ambities die door u - en onszelf - zijn geïdentificeerd zullen kunnen realiseren ' , schrijft H. Bruins Slot , voorzitter van de raad van bestuur van de Publieke Omroep .",^q_1_pos,0,
WR-P-P-G0000069/WR-P-P-G-0000037055.p.8.s.1.xml,Een verslaggever die er ging kijken zag lijken liggen bij huizen en in velden .,^q_1_pos,0,
WR-P-P-G0000077/WR-P-P-G-0000041424.p.14.s.4.xml,"Dat zoiets als bekeren zou kunnen worden gezien , maakt hen niet uit .",^q_1_pos,0,
WR-P-P-G0000078/WR-P-P-G-0000041983.p.2.s.3.xml,Zijn statistische verklaring over het aantal handen dat er in gegraaid heeft en waar die handen mogelijkerwijs geweest zouden kunnen zijn is voldoende om deze versnapering voortaan maar te laten staan .,^q_1_pos,0,
WR-P-P-G0000082/WR-P-P-G-0000044080.p.1.s.1.xml,"Psychiatrische patiënten die geregeld in acute nood verkeren en geen contact hebben met de hulpverlening , moeten gedwongen kunnen worden behandeld .",^q_1_pos,0,
WR-P-P-G0000088/WR-P-P-G-0000047844.p.5.s.2.xml,"Het probleem zou opgelost kunnen worden denkt Groen-Links , door ook die zaken door te schuiven naar Commissievoorzitter Barroso , maar in dat geval zit je al snel met twee Commissarissen voor Mededinging .",^q_1_pos,0,
WR-P-P-G0000103/WR-P-P-G-0000056804.p.7.s.2.xml,"Zo is nog open hoe het geld dat op uitkeringen wordt bezuinigd aangewend zal worden , of er bijzondere steun komt voor de nieuwe Oost-Duitse deelstaten en of werkgevers verplicht worden meer te doen voor de her- , om- of bijscholing van werklozen .",^q_1_pos,0,
WR-P-P-G0000104/WR-P-P-G-0000057122.p.2.s.2.xml,Een voorstel om de toeristen door het Algerijnse leger te laten bevrijden zou zijn tegengehouden door Duitse functionarissen .,^q_1_pos,0,
WR-P-P-G0000104/WR-P-P-G-0000057150.p.4.s.1.xml,De zeshonderd stations in Frankrijk die Shell wil afstoten zullen worden verkocht of Shell zal de contracten met de uitbaters van de stations simpelweg niet verlengen .,^q_1_pos,0,
WR-P-P-G0000106/WR-P-P-G-0000058070.p.1.s.7.xml,De kaartverkoop voor de wedstrijd is inmiddels stopgezet waardoor de thuisclub alleen door de houders van seizoenskaarten en degenen die al een kaartje hadden gekocht kan worden aangemoedigd .,^q_1_pos,0,
WR-P-P-G0000110/WR-P-P-G-0000060171.p.10.s.3.xml,"De meeste Arabieren hebben dat ondertussen wel begrepen , en zij die zich willen blijven verzetten zullen gedood worden of in de gevangenis belanden .",^q_1_pos,0,
WR-P-P-G0000114/WR-P-P-G-0000061507.p.1.s.2.xml,"Hoofddirecteur van het gevangeniswezen P. Jäger : "" Nagenoeg elke plek die gebruikt kan worden is bezet . ''",^q_1_pos,0,
WR-P-P-G0000114/WR-P-P-G-0000061507.p.7.s.2.xml,Nagenoeg elke plek die gebruikt kan worden is bezet .,^q_1_pos,0,
WR-P-P-G0000115/WR-P-P-G-0000061924.p.2.s.7.xml,De bezitter moet namelijk elke andere relevante informatie en documentatie die hij zou kunnen krijgen hebben geraadpleegd en daarenboven alle andere stappen hebben genomen die een verstandig persoon in dezelfde omstandigheden zou hebben genomen .,^q_1_pos,0,
WR-P-P-G0000117/WR-P-P-G-0000063065.p.2.s.2.xml,Banktegoeden van organisaties die van terrorisme worden verdacht zouden bevroren moeten worden .,^q_1_pos,0,
WR-P-P-G0000119/WR-P-P-G-0000063944.p.1.s.4.xml,De keuze voor welk soort onderzoek door welke partij zou moeten worden uitgevoerd zou in belangrijke mate af moeten hangen van het beoogde onderzoeksdoel .,^q_1_pos,0,
WR-P-P-G0000120/WR-P-P-G-0000064145.p.1.s.2.xml,Het aantal misdrijven waarvoor de doodstraf kan worden geëist is teruggebracht van vijftien tot vijf .,^q_1_pos,0,
WR-P-P-G0000120/WR-P-P-G-0000064194.head.1.s.1.xml,Leren &amp, filmen is ploeteren,0,^q_1_pos
WR-P-P-G0000122/WR-P-P-G-0000065168.p.14.s.1.xml,Waar de kleine Franse interventiemacht mee is begonnen moet worden voortgezet met een veel grotere Europese militaire en burgerlijke actie .,^q_1_pos,0,
WR-P-P-G0000122/WR-P-P-G-0000065220.p.11.s.2.xml,Ambtenaren tegen wie een fraude-onderzoek loopt moeten geschorst kunnen worden .,^q_1_pos,0,
WR-P-P-G0000124/WR-P-P-G-0000065768.p.11.s.2.xml,Zwaar gaan / zijn / lopen = zwanger zijn .,^q_1_pos,0,
WR-P-P-G0000127/WR-P-P-G-0000067151.p.4.s.2.xml,"Omdat we die onbeschaamdheid hadden , wordt nu gesuggereerd dat het systeem dat de BBC tachtig jaar heeft beschermd geschrapt moet worden en vervangen moet worden door een externe controleur die de ` BBC mores moet leren ' . ''",^q_1_pos,0,
WR-P-P-G0000136/WR-P-P-G-0000071518.p.10.s.7.xml,"Het woord dat voor ` vreemdeling ' wordt gebruikt kan worden weergegeven met : iemand die erbij gekomen is , nieuwkomer .",^q_1_pos,0,
WR-P-P-G0000136/WR-P-P-G-0000071554.p.2.s.2.xml,"Het gaat niet meer om knap gemaakte korte films , om dappere of laffe , om korte korte films of nog veel kortere , het gaat erom dat ze gemaakt moeten kunnen blijven worden , en vertoond .",^q_1_pos,1,
WR-P-P-G0000141/WR-P-P-G-0000073554.p.7.s.3.xml,De studiegroep die Bush en Hu zeiden te zullen instellen zal moeten uitkomen op een oplossing die voor beide partijen werkbaar is .,^q_1_pos,0,
WR-P-P-G0000141/WR-P-P-G-0000073554.p.7.s.7.xml,De bandbreedte waarmee de yuan van zijn gekoppelde niveau mag afwijken moet worden verbreed van de huidige 1 procent naar tussen de 5 en 7 procent .,^q_1_pos,0,
WR-P-P-G0000144/WR-P-P-G-0000074863.p.8.s.2.xml,"Daarin noteerde hij huishoudelijke zaken , lijsten van schuldeisers en de prijs van muziekpapier , maar hij schreef ook favoriete pasages uit boeken over en sprak zichzelf , vaak vermanend , toe : ` Alles dat leven wordt genoemd moet opgeofferd worden voor het sublieme en mag slechts een heiligdom zijn voor je kunst . '",^q_1_pos,0,
WR-P-P-G0000147/WR-P-P-G-0000076264.p.9.s.4.xml,"Mensen die alleen willen ontvangen , maar niet willen geven zouden moeten worden uitgesloten van het ontvangen van organen .",^q_1_pos,0,
WR-P-P-G0000151/WR-P-P-G-0000078394.p.23.s.1.xml,"De Franse scheiding van kerk en staat brengt thans mee dat de beginselen waarop zij is gegrondvest moeten worden geconsolideerd , dat de publieke diensten moeten worden versterkt en dat het respect voor de geestelijke verscheidenheid moet worden gewaarborgd .",^q_1_pos,0,
