id,sentence,queryId,false
DACT/wik_part0070/43320-50-2.xml,"Dat bracht hem , niet beseffend dat de industrieën naar de Oeral geëvacueerd zouden worden , tot het bevel in september eerst de saillant van Kiev af te snijden , terwijl een onmiddellijke opmars naar het oosten Moskou nog voor de herfstregens zou hebben doen laten vallen .",^q_2b_12345,1
DACT/wik_part0115/99493-6-3.xml,"Hij zei ook dat de manier waarop het algemeen stemrecht in Europa wordt toegepast verbeterd zou kunnen worden door aan ouders met kinderen meer stemrecht te geven dan aan een " snotneus van 18 jaar " ( het zogenaamde familiestemrecht ) .",^q_2b_12345,0
DACT/wik_part0134/125716-32-3.xml,"In 1559 veroverde koning Frederik II Dithmarschen alsnog en liet in de capitulatieovereenkomst opnemen dat alle Deense vlaggen die in 1500 in Dithmarschense handen waren gevallen moesten worden teruggegeven .",^q_2b_12345,0
DACT/wik_part0171/193286-4-6.xml,"Hij kwam er achter dat alle verwijzingen die Raúl zouden kunnen beschuldigen geschrapt waren .",^q_2b_12345,0
DACT/wik_part0205/255088-29-9.xml,"In sommige uitbeeldingen wordt het alter ego echter slechts schematisch voorgesteld , soms zelfs zodanig dat de uitbeelding van het alter ego er niet meer is , hoewel in de figuur het blok steen wel is behouden waar het alter ego zou hebben moeten zijn gebeeldhouwd .",^q_2b_12345,1
DACT/wik_part0211/268223-10-3.xml,"Op aandringen van de regering in Beieren bleef het huis gespaard en werd het uiteindelijk overgedragen aan de deelstaat Beieren , onder voorwaarde dat alles wat aan het naziverleden was gerelateerd zou worden uitgewist .",^q_2b_12345,0
DACT/wik_part0388/694239-7-1.xml,"In datzelfde jaar werd vastgelegd dat de Orde ook aan " wijzen " , schrijvers en al diegenen die zich voor het onderwijs verdienstelijk hadden gemaakt kon worden verleend .",^q_2b_12345,0
DACT/wik_part0431/821826-7-1.xml,"Op 30 april meldde het BBC-actualiteitenprogramma " Panorama " dat Woolmer voor hij gewurgd zou zijn gedrogeerd zou zijn met een middel dat hem hulpeloos had gemaakt .",^q_2b_12345,0
DACT/wik_part0436/838632-5-10.xml,"Ze besluit dat de locatie van de modeshow die François had gepland moet worden gewijzigd .",^q_2b_12345,0
DACT/wik_part0445/864271-62-2.xml,"In de eerste plaats zijn er als AN aanvaarde , deels regionale constructies als " ik ben wezen fietsen " en de befaamde zin " ik zou jou wel eens hebben willen zien durven blijven staan kijken " , die overigens ook voor een aanzienlijk deel van de Nederlanders niet grammaticaal is , maar binnen het AN zeker mogelijk .",^q_2b_12345,0
DACT/wik_part0456/896844-8-1.xml,"Tevens werd in het verdrag besloten dat de kinderen van Peter de Wrede die gevangen waren gezet moesten worden vrijgelaten .",^q_2b_12345,0
DACT/wik_part0483/969839-150-1.xml,"In januari 2011 bepaalde het Supreme Court van Massachusetts dat banken ( c.q. andere crediteuren ) die een huis executoriaal wilden verkopen moesten kunnen aantonen over het hypotheekrecht te beschikken .",^q_2b_12345,0
